points, hull, time
35600, 22, 9
35700, 26, 8
35800, 22, 8
35900, 33, 9
36000, 33, 9
36100, 35, 9
36200, 33, 9
36300, 33, 11
36400, 30, 10
36500, 26, 8
36600, 28, 9
36700, 29, 9
36800, 27, 13
36900, 25, 13
37000, 31, 13
37100, 29, 11
37200, 32, 13
37300, 29, 10
37400, 28, 11
37500, 27, 12
37600, 27, 9
37700, 23, 10
37800, 26, 9
37900, 30, 9
38000, 33, 9
38100, 24, 9
38200, 29, 9
38300, 31, 9
38400, 30, 9
38500, 23, 9
38600, 29, 9
38700, 27, 10
38800, 27, 11
38900, 32, 12
39000, 29, 11
39100, 24, 9
39200, 33, 9
39300, 26, 9
39400, 22, 9
39500, 24, 9
39600, 20, 10
39700, 34, 11
39800, 20, 9
39900, 24, 9
40000, 23, 10
40100, 28, 11
40200, 33, 12
40300, 30, 14
40400, 30, 14
40500, 27, 10
40600, 24, 12
40700, 32, 10
40800, 28, 11
40900, 28, 11
41000, 31, 11
41100, 28, 10
41200, 25, 13
41300, 28, 13
41400, 27, 10
41500, 25, 10
41600, 23, 12
41700, 30, 10
41800, 27, 10
41900, 27, 11
42000, 30, 12
42100, 24, 10
42200, 32, 12
42300, 34, 10
42400, 25, 10
42500, 28, 15
42600, 22, 9
42700, 28, 11
42800, 27, 14
42900, 27, 11
43000, 27, 11
43100, 29, 10
43200, 34, 12
43300, 20, 10
43400, 28, 10
43500, 29, 12
43600, 25, 13
43700, 29, 19
43800, 34, 25
43900, 28, 19
44000, 24, 14
44100, 26, 11
44200, 36, 13
44300, 31, 12
44400, 25, 13
44500, 28, 13
44600, 31, 13
44700, 28, 11
44800, 27, 11
44900, 23, 10
45000, 29, 14
45100, 33, 14
45200, 26, 12
45300, 29, 12
45400, 29, 12
45500, 25, 12
45600, 30, 15
45700, 26, 11
45800, 32, 13
45900, 20, 11
46000, 25, 12
46100, 31, 12
46200, 32, 14
46300, 27, 14
46400, 27, 12
46500, 29, 12
46600, 31, 16
46700, 33, 13
46800, 26, 12
46900, 32, 13
47000, 30, 12
