points, hull, time
35600, 4, 10
35700, 4, 12
35800, 4, 7
35900, 4, 7
36000, 4, 9
36100, 4, 11
36200, 4, 8
36300, 4, 9
36400, 4, 10
36500, 4, 12
36600, 4, 8
36700, 4, 9
36800, 4, 8
36900, 4, 7
37000, 4, 9
37100, 4, 7
37200, 4, 9
37300, 4, 8
37400, 4, 9
37500, 4, 8
37600, 4, 8
37700, 4, 8
37800, 4, 9
37900, 4, 10
38000, 4, 10
38100, 4, 8
38200, 4, 7
38300, 4, 10
38400, 4, 8
38500, 4, 7
38600, 4, 9
38700, 4, 10
38800, 4, 7
38900, 4, 9
39000, 4, 9
39100, 4, 9
39200, 4, 9
39300, 4, 9
39400, 4, 9
39500, 4, 12
39600, 4, 9
39700, 4, 8
39800, 4, 9
39900, 4, 12
40000, 4, 11
40100, 4, 12
40200, 4, 13
40300, 4, 12
40400, 4, 9
40500, 4, 13
40600, 4, 13
40700, 4, 11
40800, 4, 9
40900, 4, 12
41000, 4, 10
41100, 4, 11
41200, 4, 13
41300, 4, 9
41400, 4, 10
41500, 4, 15
41600, 4, 11
41700, 4, 10
41800, 4, 14
41900, 4, 12
42000, 4, 10
42100, 4, 12
42200, 4, 12
42300, 4, 10
42400, 4, 10
42500, 4, 9
42600, 4, 12
42700, 4, 10
42800, 4, 10
42900, 4, 11
43000, 4, 11
43100, 4, 10
43200, 4, 12
43300, 4, 10
43400, 4, 9
43500, 4, 12
43600, 4, 12
43700, 4, 14
43800, 4, 10
43900, 4, 11
44000, 4, 12
44100, 4, 11
44200, 4, 12
44300, 4, 10
44400, 4, 21
44500, 4, 18
44600, 4, 21
44700, 4, 17
44800, 4, 15
44900, 4, 11
45000, 4, 10
45100, 4, 11
45200, 4, 11
45300, 4, 15
45400, 4, 8
45500, 4, 10
45600, 4, 11
45700, 4, 16
45800, 4, 11
45900, 4, 14
46000, 4, 12
46100, 4, 10
46200, 4, 12
46300, 4, 11
46400, 4, 16
46500, 4, 13
46600, 4, 14
46700, 4, 12
46800, 4, 18
46900, 4, 18
47000, 4, 15
47100, 4, 18
47200, 4, 12
47300, 4, 9
47400, 4, 14
47500, 4, 11
47600, 4, 13
47700, 4, 9
47800, 4, 11
47900, 4, 13
48000, 4, 13
48100, 4, 17
48200, 4, 13
48300, 4, 13
48400, 4, 14
48500, 4, 12
48600, 4, 10
48700, 4, 10
48800, 4, 10
48900, 4, 9
49000, 4, 10
49100, 4, 15
49200, 4, 14
49300, 4, 15
49400, 4, 16
49500, 4, 11
49600, 4, 10
49700, 4, 11
49800, 4, 15
49900, 4, 14
50000, 4, 14
50100, 4, 12
50200, 4, 11
50300, 4, 15
50400, 4, 13
50500, 4, 14
50600, 4, 14
50700, 4, 14
50800, 4, 11
50900, 4, 11
51000, 4, 12
51100, 4, 10
51200, 4, 14
51300, 4, 10
51400, 4, 10
51500, 4, 12
51600, 4, 17
51700, 4, 11
51800, 4, 12
51900, 4, 10
52000, 4, 11
52100, 4, 10
52200, 4, 13
52300, 4, 12
52400, 4, 11
52500, 4, 12
52600, 4, 12
52700, 4, 10
52800, 4, 14
52900, 4, 16
53000, 4, 16
53100, 4, 13
53200, 4, 14
53300, 4, 13
53400, 4, 12
53500, 4, 14
53600, 4, 13
53700, 4, 14
53800, 4, 15
53900, 4, 20
54000, 4, 10
54100, 4, 11
54200, 4, 10
54300, 4, 11
54400, 4, 11
54500, 4, 10
54600, 4, 10
54700, 4, 10
54800, 4, 10
54900, 4, 11
55000, 4, 14
55100, 4, 14
55200, 4, 14
55300, 4, 18
55400, 4, 12
55500, 4, 19
55600, 4, 15
55700, 4, 11
55800, 4, 13
55900, 4, 11
56000, 4, 15
56100, 4, 11
56200, 4, 11
56300, 4, 11
56400, 4, 10
56500, 4, 14
56600, 4, 14
56700, 4, 11
56800, 4, 11
56900, 4, 14
57000, 4, 17
57100, 4, 22
57200, 4, 14
57300, 4, 17
57400, 4, 13
57500, 4, 11
57600, 4, 12
57700, 4, 12
57800, 4, 16
57900, 4, 11
58000, 4, 12
58100, 4, 16
58200, 4, 11
58300, 4, 12
58400, 4, 12
58500, 4, 12
58600, 4, 18
58700, 4, 16
58800, 4, 15
58900, 4, 16
59000, 4, 13
59100, 4, 18
59200, 4, 22
59300, 4, 17
59400, 4, 21
59500, 4, 14
59600, 4, 16
59700, 4, 12
59800, 4, 13
59900, 4, 11
60000, 4, 15
60100, 4, 17
60200, 4, 13
60300, 4, 16
60400, 4, 14
60500, 4, 12
60600, 4, 12
60700, 4, 11
60800, 4, 14
60900, 4, 16
61000, 4, 13
61100, 4, 13
61200, 4, 15
61300, 4, 13
61400, 4, 14
61500, 4, 22
61600, 4, 16
61700, 4, 15
61800, 4, 17
61900, 4, 16
62000, 4, 14
62100, 4, 14
62200, 4, 14
62300, 4, 12
62400, 4, 15
62500, 4, 14
62600, 4, 17
62700, 4, 14
62800, 4, 13
62900, 4, 13
63000, 4, 16
63100, 4, 13
63200, 4, 12
63300, 4, 14
63400, 4, 13
63500, 4, 12
63600, 4, 15
63700, 4, 14
63800, 4, 18
63900, 4, 13
64000, 4, 17
64100, 4, 16
64200, 4, 14
64300, 4, 14
64400, 4, 15
64500, 4, 13
64600, 4, 14
64700, 4, 14
64800, 4, 16
64900, 4, 16
65000, 4, 13
65100, 4, 14
65200, 4, 14
65300, 4, 12
65400, 4, 12
65500, 4, 13
65600, 4, 13
65700, 4, 13
65800, 4, 14
65900, 4, 17
66000, 4, 29
66100, 4, 20
66200, 4, 14
66300, 4, 14
66400, 4, 15
66500, 4, 13
66600, 4, 13
66700, 4, 15
66800, 4, 18
66900, 4, 15
67000, 4, 16
67100, 4, 16
67200, 4, 13
67300, 4, 13
67400, 4, 15
67500, 4, 14
67600, 4, 15
67700, 4, 13
67800, 4, 13
67900, 4, 13
68000, 4, 14
68100, 4, 17
68200, 4, 15
68300, 4, 13
68400, 4, 13
68500, 4, 13
68600, 4, 16
68700, 4, 13
68800, 4, 16
68900, 4, 16
69000, 4, 13
69100, 4, 15
69200, 4, 18
69300, 4, 14
69400, 4, 13
69500, 4, 13
69600, 4, 15
69700, 4, 14
69800, 4, 16
69900, 4, 13
70000, 4, 16
70100, 4, 20
70200, 4, 25
70300, 4, 24
70400, 4, 23
70500, 4, 22
70600, 4, 23
70700, 4, 22
70800, 4, 22
70900, 4, 21
71000, 4, 23
71100, 4, 24
71200, 4, 28
71300, 4, 24
71400, 4, 24
71500, 4, 24
71600, 4, 23
71700, 4, 25
71800, 4, 25
71900, 4, 22
72000, 4, 21
72100, 4, 23
72200, 4, 26
72300, 4, 23
72400, 4, 24
72500, 4, 23
72600, 4, 24
72700, 4, 25
72800, 4, 24
72900, 4, 25
73000, 4, 23
73100, 4, 23
73200, 4, 30
73300, 4, 25
73400, 4, 23
73500, 4, 24
73600, 4, 24
73700, 4, 24
73800, 4, 24
73900, 4, 22
74000, 4, 25
74100, 4, 24
74200, 4, 24
74300, 4, 25
74400, 4, 24
74500, 4, 24
74600, 4, 27
74700, 4, 23
74800, 4, 25
74900, 4, 26
75000, 4, 26
75100, 4, 29
75200, 4, 25
75300, 4, 24
75400, 4, 25
75500, 4, 26
75600, 4, 24
75700, 4, 25
75800, 4, 24
75900, 4, 25
76000, 4, 25
76100, 4, 26
76200, 4, 23
76300, 4, 27
76400, 4, 25
76500, 4, 24
76600, 4, 27
76700, 4, 25
76800, 4, 25
76900, 4, 25
77000, 4, 30
77100, 4, 26
77200, 4, 26
77300, 4, 27
77400, 4, 26
77500, 4, 27
77600, 4, 26
77700, 4, 25
77800, 4, 25
77900, 4, 29
